Simunation No.,fc1 (g/g),fc2 (g/g),fc3 (g/g),si (g/cm2/yr),r0 (g/cm2),Total Accretion (cm),Mean Accretion (cm/yr),Mean OM%,Mean OM Density (mg/cm3),Mean BD (g/cm3),C_Seq (g/m2/yr),OC Density (mg/cm3),IM(%),IM Density (mg/cm3),Necromass (Mg/ha),Root Necromass (Mg/ha),Root Necromass Projected Up to 40 cm (Mg/ha),Sites
670,0.276699839,0.140854902,0.418166509,0.012576808,0.005551357,15.44286377,0.154428638,63.81752626,107.3091552,0.168465201,77.9725067,48.89778841,36.18249304,61.15604604,158.566706,41.39685591,157.1153447,Rookery Bay
671,0.286414515,0.16082472,0.443265624,0.016126964,0.006166109,16.42728552,0.164272855,57.49105977,106.5157508,0.185703354,80.82512365,47.88988605,42.5089451,79.18760286,166.5695564,49.39970636,170.9712657,Rookery Bay
672,0.293308824,0.167657156,0.188110921,0.029330946,0.005582124,16.09335571,0.160933557,38.96379003,102.8362735,0.265648338,73.35260526,44.13626687,61.0362139,162.8120643,158.0299598,40.86010968,147.1518283,Rookery Bay
673,0.261714123,0.14584891,0.284990828,0.020682411,0.004823021,14.91284875,0.149128488,47.39545941,104.8256985,0.222423822,71.42408424,46.03076187,52.60455503,117.5981232,150.3112783,33.14142822,133.4860898,Rookery Bay
674,0.262099582,0.138009719,0.123522374,0.017079004,0.003480443,13.44998566,0.134499857,50.85738413,105.4492525,0.208875417,66.50012895,46.6943122,49.14261924,103.426164,137.8870636,20.71721348,97.6872134,Rookery Bay
675,0.274615788,0.169186816,0.168236595,0.012619125,0.004790896,14.40121155,0.144012115,62.13105904,107.1062217,0.172874176,73.04001815,48.63417609,37.8689516,65.76795418,148.4628228,31.29297275,132.1666884,Rookery Bay
676,0.284263742,0.164416264,0.231335845,0.017714546,0.006906879,16.86763561,0.168676356,55.2150926,106.1889825,0.192803098,82.20882093,47.50284105,44.78491066,86.61411512,169.4670756,52.29722547,173.7897545,Rookery Bay
677,0.267746432,0.175930076,0.208622207,0.012480887,0.005216308,14.81104671,0.148110467,63.1134652,107.225124,0.170290869,75.03506441,48.78814385,36.88655009,63.06574494,152.3487444,35.17889435,142.2176753,Rookery Bay
678,0.264760455,0.177743814,0.417296366,0.021260548,0.005103162,15.46896523,0.154689652,47.45645917,104.8454788,0.221994139,73.72363608,46.0476534,52.54355887,117.1486602,155.6026865,38.43283638,146.5318195,Rookery Bay
679,0.277512708,0.145538368,0.211457351,0.019318651,0.005075307,15.02362716,0.150236272,49.67353967,105.2620967,0.212942147,72.55481725,46.48282304,50.32647753,107.6800507,151.7700141,34.60016398,137.5433389,Rookery Bay
680,0.283426219,0.175590336,0.242992627,0.018859822,0.004638807,14.72157701,0.14721577,49.92325809,105.3041962,0.212027299,71.35207495,46.52898498,50.07675347,106.7231023,149.3092318,32.1393817,131.9940152,Rookery Bay
681,0.272093022,0.162758236,0.293788815,0.022270633,0.005711445,15.92837568,0.159283757,46.77270151,104.7120863,0.224892147,75.46993472,45.91054588,53.22730666,120.1800609,159.2204762,42.05062608,153.1294586,Rookery Bay
682,0.262891403,0.174709962,0.252541893,0.015877494,0.004800611,14.65591612,0.146559161,55.21983807,106.1779303,0.193043454,72.48502441,47.49670691,44.78017405,86.86552408,149.723479,32.55362891,134.226749,Rookery Bay
683,0.250644782,0.16503358,0.176211931,0.013177543,0.005903305,15.32414514,0.153241451,62.16225972,107.1145429,0.172693504,77.10342187,48.64175296,37.83775589,65.5789614,156.5953409,39.42549081,151.0776724,Rookery Bay
684,0.268339046,0.161115804,0.212250134,0.01144448,0.006383281,15.83525558,0.158352556,67.28541132,107.6865477,0.160265201,80.6032225,49.41626339,32.71459639,52.57865352,162.1108484,44.94099836,163.6294238,Rookery Bay
685,0.287572281,0.166614671,0.422787617,0.02557951,0.005347393,16.03001738,0.160300174,42.80878689,103.8387266,0.243867968,74.51923063,45.05651617,57.1912251,140.0292413,159.3255439,42.15569384,152.6313185,Rookery Bay
686,0.270591251,0.181524151,0.332508146,0.024707531,0.005909055,16.36791339,0.163679134,44.34610708,104.1976192,0.236069952,76.50946955,45.39966912,55.65389462,131.8723323,162.5201202,45.35027016,158.7191285,Rookery Bay
687,0.268225488,0.188767058,0.315623287,0.017626782,0.005153348,15.20664872,0.152066487,52.82404101,105.8081084,0.201078802,74.18176912,47.0739951,47.17597623,95.27069377,154.3558824,37.18603232,145.0754287,Rookery Bay
688,0.269498593,0.141804626,0.384551714,0.026742503,0.005336061,15.88929527,0.158892953,41.29609061,103.4623315,0.252045991,73.40012762,44.70511088,58.70392073,148.5836594,157.338955,40.1691049,147.4261107,Rookery Bay
