Simunation No.,fc1 (g/g),fc2 (g/g),fc3 (g/g),si (g/cm2/yr),r0 (g/cm2),Total Accretion (cm),Mean Accretion (cm/yr),Mean OM%,Mean OM Density (mg/cm3),Mean BD (g/cm3),C_Seq (g/m2/yr),OC Density (mg/cm3),IM(%),IM Density (mg/cm3),Necromass (Mg/ha),Root Necromass (Mg/ha),Root Necromass Projected Up to 40 cm (Mg/ha),Sites
188,0.4806757569163655,0.15590048337464685,0.29839430270140477,0.01489963895263852,0.014131920646691363,12.46092400892675,0.12460924008926749,49.82532811691426,105.10826492357496,0.21628465891011525,64.10139844869906,46.404767949960075,50.174695754888226,111.17639398654026,116.07357858224626,74.70616300447622,298.80525428606904,Taylor Slough
189,0.5066233450326915,0.20279763828027203,0.4032104127450805,0.015790380618563304,0.009043206698026864,8.427363065826949,0.08427363065826948,37.50769361483395,102.35015802334665,0.2762108065610753,38.248225225649065,43.72478671312642,62.49233052971766,173.8606485377286,79.67632254263069,38.308906964860626,258.4819189180513,Taylor Slough
190,0.48674912901487355,0.18604305226270396,0.2300078708732361,0.012433400495425904,0.015083286281017665,13.113589302846714,0.13113589302846715,56.18629282133276,106.17258957732429,0.19316003420162856,70.11131307676771,47.57583421039941,43.81374094302511,86.98744462430426,122.5465571054815,81.17914152771148,303.2867090288774,Taylor Slough
191,0.5045604754966274,0.17039015703885727,0.266801517326012,0.013856792690321376,0.025996713781032462,42.45097577796929,0.4245097577796929,79.13686089561189,108.59615529794323,0.14050223944857074,317.83378996797364,50.96332266490066,20.863160013997952,31.906084150627514,380.0686530389577,338.70123746118753,316.3434908307517,Taylor Slough
192,0.494017549031837,0.16825791410538388,0.25350258187522123,0.011630406535815643,0.014368299323519122,12.373847276332091,0.12373847276332091,56.475475885503045,106.23575211795644,0.19178746164836852,65.49431055431016,47.637814007242476,43.5245489665829,85.5517095304121,116.40367626019466,75.03626068242461,301.3854188427426,Taylor Slough
193,0.49588662030596575,0.17523887994307485,0.32915804735462295,0.01054115435825953,0.013581045503259875,11.718383110117752,0.11718383110117753,57.76310785391681,106.4405843375306,0.1873368239945796,61.751586912510085,47.86859312617914,42.23690931193839,80.896239657049,111.21523119427488,69.84781561650483,300.1926557728285,Taylor Slough
194,0.4870025202291424,0.19280671058326432,0.32663855029625144,0.013770272501389557,0.01520288123124771,13.909307041343546,0.13909307041343547,55.02824547798433,105.9648428448989,0.19767384298485882,75.06084287421663,47.354366308891485,44.971789841158596,91.70900013995983,129.622501335614,88.25508575784397,306.52395341334545,Taylor Slough
195,0.4754711215648704,0.19157654139988278,0.28064991793479527,0.012842668814253602,0.012558654851995183,10.549568996138282,0.10549568996138282,49.364155163969244,105.09649903765747,0.21653999157553439,52.51065496112658,46.35854468681068,50.635856389961745,111.44349253787688,99.55573773879992,58.1883221610299,288.0407125614854,Taylor Slough
196,0.47354440001031817,0.18382060105393172,0.3490806822715772,0.009007999764071621,0.029612004300599744,60.24854642362264,0.6024854642362264,88.5922855717554,109.3327702483883,0.12449744010069569,486.24968460132254,52.20406293118447,11.407728720871713,15.164669852307437,538.1056431236854,496.7382275459153,308.2224512890708,Taylor Slough
197,0.4519106306448691,0.17542119977000126,0.30021464292775935,0.014894538835807852,0.028842995309052023,53.19207707347068,0.5319207707347068,81.30676690669921,108.76975477591931,0.13673027809903326,411.09393182578685,51.250752260404184,18.69324927706103,27.960523323113975,471.48293269713963,430.11551711936954,308.86273608628267,Taylor Slough
